TI,TE,TR,resitor,ventoinha,data,hora
45.08,27.58,66,100,0,2021-03-21,15:45:14
45.73,27.57,66,100,0,2021-03-21,15:45:16
45.73,27.56,66,100,0,2021-03-21,15:45:18
46.44,27.57,66,100,0,2021-03-21,15:45:20
46.54,27.57,66,100,0,2021-03-21,15:45:22
47.66,27.56,66,100,0,2021-03-21,15:45:24
47.6,27.59,66,100,0,2021-03-21,15:45:26
47.73,27.59,66,100,0,2021-03-21,15:45:28
46.92,27.6,66,100,0,2021-03-21,15:45:30
47.53,27.6,66,100,0,2021-03-21,15:45:32
47.34,27.6,66,100,0,2021-03-21,15:45:34
48.18,27.6,66,100,0,2021-03-21,15:45:36
48.79,27.59,66,100,0,2021-03-21,15:45:38
49.53,27.59,66,100,0,2021-03-21,15:45:40
48.92,27.6,66,100,0,2021-03-21,15:45:42
49.31,27.57,66,100,0,2021-03-21,15:45:44
49.53,27.58,66,100,0,2021-03-21,15:45:46
49.92,27.56,66,100,0,2021-03-21,15:45:48
49.89,27.55,66,100,0,2021-03-21,15:45:50
50.24,27.54,66,100,0,2021-03-21,15:45:52
50.47,27.53,66,100,0,2021-03-21,15:45:54
51.08,27.53,66,100,0,2021-03-21,15:45:56
50.43,27.53,66,100,0,2021-03-21,15:45:58
50.56,27.54,66,100,0,2021-03-21,15:46:00
50.69,27.54,66,100,0,2021-03-21,15:46:02
50.56,27.56,66,100,0,2021-03-21,15:46:04
50.5,27.57,66,100,0,2021-03-21,15:46:06
51.3,27.59,66,100,0,2021-03-21,15:46:08
52.27,27.59,66,100,0,2021-03-21,15:46:10
52.82,27.6,66,100,0,2021-03-21,15:46:12
52.79,22.15,66,100,0,2021-03-21,15:46:14
52.85,27.61,66,100,0,2021-03-21,15:46:16
52.79,27.62,66,100,0,2021-03-21,15:46:18
52.72,27.62,66,100,0,2021-03-21,15:46:20
52.72,27.63,66,100,0,2021-03-21,15:46:22
53.62,27.63,66,100,0,2021-03-21,15:46:24
54.08,27.64,66,100,0,2021-03-21,15:46:26
55.08,27.66,66,100,0,2021-03-21,15:46:28
54.98,27.67,66,100,0,2021-03-21,15:46:30
54.98,27.67,66,100,0,2021-03-21,15:46:32
55.43,27.65,66,100,0,2021-03-21,15:46:34
